country_code,year,edu_educational_attainment_rate,edu_public_expenditure_education,edu_school_enrollment_primary,edu_school_enrollment_secondary,edu_lower_secondary_schools_electricity,edu_out_of_school_children_female,edu_out_of_school_children_male,edu_years_free_primary_secondary,edu_primary_completion_rate,edu_primary_schools_internet,edu_primary_schools_electricity,edu_secondary_schools_internet,edu_upper_secondary_schools_electricity,edu_years_compulsory_education,des_gdp_per_capita,des_densidad_poblacion,des_deflactor_inflacion_gdp,des_tasa_natalidad,des_crecimiento_poblacion_rural,des_poblacion_rural,des_tasa_mortalidad_infantil,des_hdi,elec_electricity_access_total,elec_electricity_access_rural,elec_electricity_access_urban,elec_electricity_consumption,elec_gdp_per_unit_energy_use
NIC,2023,,2.86578989028931,109.536392211914,70.1749572753906,,25719.0,27762.0,11.0,,,,,,6.0,2609.44492072931,56.702783779292,10.781773656599,19.376,1.05497084061104,2789145.0,10.3,,88.3,71.0,100.0,,
NLD,2023,97.3239441916378,,104.15657043457,137.514724731445,,1931.0,3767.0,12.0,,,,,,12.0,63515.6030780019,530.950905850906,6.30210666993382,9.2,-5.95747925574171,836261.0,3.5,,100.0,100.0,100.0,6189.0851863866,20.5371920215302
NOR,2023,99.680658116242,,98.6104431152344,117.775093078613,,3033.0,2792.0,10.0,98.9264831542969,,,,,10.0,87497.2179649556,15.1524803030719,-11.0768034229592,9.4,0.458364327800383,934366.0,1.9,,100.0,100.0,100.0,23520.2081892255,18.4426800573221
NPL,2023,,3.95641148036706,126.553677663081,89.8898815141438,33.50188212820944,,,12.0,116.979633773629,13.19927082146519,46.67881964224678,47.69735705648644,76.86165440516778,8.0,1382.33055769304,207.147638646669,5.74902859335131,19.34,-0.796739875270438,9934840.0,23.3,,94.0,93.4,96.0,,
NRU,2023,94.17989349365234,5.67543983459473,109.898342073993,90.1002502441406,100.0,,,12.0,118.296529345651,0.0,100.0,50.0,100.0,12.0,12752.4723855838,593.75,6.39880952380945,25.505,,0.0,8.3,,100.0,100.0,100.0,,
NZL,2023,,5.27568006515503,96.8670501708984,113.395988464355,,4241.0,4757.0,13.0,,,,,,10.0,49075.9562832927,19.9194865367817,4.14984857819299,10.86,2.08320387513405,837725.0,4.0,,100.0,100.0,100.0,7952.33555767398,13.5246223866966
OMN,2023,,,,,100.0,,,12.0,,100.0,100.0,100.0,100.0,10.0,21027.7384778886,16.3142778675283,-4.69581133703699,16.847,8.71133469174027,1031551.0,8.4,,100.0,100.0,100.0,,
PAK,2023,,1.94658005237579,81.3796346128751,42.2911451386891,22.59550743084563,4710783.00585938,3678690.31835938,12.0,68.6482822316824,,42.36709001717237,,30.80812973475674,12.0,1360.32417758419,321.067474833956,26.0156920088641,27.806,0.823853804704383,151425264.0,50.1,,95.6,92.8,100.0,,
PAN,2023,89.2,2.47225999832153,95.2033935877376,,61.50414276609305,19429.0,21941.0,12.0,93.2789665970772,40.86021505376344,72.74193548387096,39.67185974121094,47.8960396039604,9.0,18797.1933994045,60.1072930709086,2.25974916163428,16.029,1.19491936575184,1522215.0,10.6,,97.0,90.7,100.0,,
PER,2023,75.8,4.23516988754272,113.900588989258,111.395393371582,89.31922912597656,,,11.0,,52.70444869995117,82.57131958007812,80.15061950683594,89.31922912597656,11.0,7887.54185920108,26.44188828125,6.3353956438818,15.944,-1.58847574161029,5150956.0,13.5,,96.2,85.1,99.0,,
PHL,2023,,3.6236863467978,92.4462107015215,91.5493424610693,97.64961240310078,804214.0,666580.0,12.0,77.2485372465695,63.97805934501882,98.08322875764075,81.39106242392627,95.7403008709422,12.0,3804.08274131097,385.321122178623,4.60143307078241,16.019,0.0683965199309206,51558262.0,22.1,0.72,98.0,97.6,98.4,,
PLW,2023,,3.52595777106229,100.718907260963,97.286012526096,100.0,56.0,58.0,12.0,93.8271604938272,94.73684210526316,100.0,95.83333333333334,100.0,12.0,15610.8231931032,38.5369565217391,11.0352090814888,10.897,-0.351114472801599,3696.0,19.1,,100.0,100.0,100.0,,
PNG,2023,,0.782122804685732,121.090488343548,52.0929750873194,100.0,,,,82.7478003932096,,,,100.0,0.0,2966.06830432055,22.9422669257607,-4.3417792130993,24.576,1.43238344964751,8825153.0,32.0,,20.5,13.4,65.2,,
POL,2023,99.6761439153944,,105.397079467773,108.386131286621,,,,12.0,103.98380279541,,,,,8.0,22145.2660647429,119.787615502661,9.86569270234997,7.4,-0.501195541796212,14716781.0,3.7,,100.0,100.0,100.0,4381.86423534017,16.5477049590413
PRI,2023,94.32331085205078,4.26898753959873,88.0846710205078,110.409713745117,42.69520950317383,9967.0,12207.0,12.0,70.1681594848633,49.66117858886719,49.66117858886719,38.67990875244141,33.49592971801758,12.0,36980.7884784287,361.194137542277,3.31567322527798,5.8,-1.6418303054626,186543.0,,,100.0,100.0,100.0,,
PRT,2023,95.1277395473967,,110.98851776123,120.347076416016,,,,12.0,104.516647338867,,,,,12.0,27634.6183139773,115.475189289738,7.4876480834025,8.1,1.16586147607383,4103817.0,2.6,,100.0,100.0,100.0,5146.25681143078,22.5389760427041
PRY,2023,79.7,3.40649008750915,90.3532686843589,79.7518585422984,,46316.0,50967.0,12.0,90.271367469734,,,,,12.0,6299.99026533713,17.282671943072,2.17499450135428,19.985,-1.04987417843905,2097963.0,15.1,,99.8,99.5,100.0,2388.61064623694,15.159743157465
PSE,2023,,,91.4422361153306,89.1210984011759,100.0,27289.0,26504.0,12.0,91.1695163220973,98.02409638554217,100.0,98.9139515455305,100.0,10.0,3455.02852911712,857.390041493776,-2.42974331682846,27.062,0.422602055870789,678902.0,14.3,,100.0,100.0,100.0,,
QAT,2023,,,,,100.0,,,12.0,,100.0,100.0,100.0,100.0,12.0,81816.9797967481,231.160313315927,-9.20463307984075,9.908,-5.4205497518785,19030.0,4.9,,100.0,100.0,100.0,,
ROU,2023,98.9514481926966,,84.946662902832,81.6316070556641,,78616.0,81630.0,13.0,80.9689483642578,,,,,10.0,18244.4186876321,82.8384866133519,12.3522995042078,8.0,0.0636310997614743,9117940.0,5.4,,100.0,100.0,100.0,2585.48515413249,23.8477729469526
RUS,2023,100.0,4.16454853394225,97.7462041476013,92.4840470838527,,78377.0,109598.0,11.0,,,,,,11.0,14159.3876953125,8.78227219242749,7.99857099742052,8.6,-0.787620647855074,35984572.0,3.7,,100.0,100.0,100.0,,
RWA,2023,,4.92004013061523,151.894816720753,45.1251505756161,86.50500790722194,,,9.0,59.3042433145261,56.53611393692777,77.74669379450661,78.83678440925699,92.8622927180966,6.0,1027.03446826565,565.645358735306,11.9488360924784,28.348,0.698983909560196,9927834.0,30.5,,63.9,57.9,99.9,,
SAU,2023,92.4906855823514,5.11466979980469,,,,,,12.0,,,,,,9.0,36156.848337701,15.6779493787476,-2.18444626235993,16.415,3.61632425207261,5292596.0,4.9,0.9,100.0,100.0,100.0,,
SDN,2023,,,,,,,,11.0,,,,,,8.0,797.283447265625,26.7895026766595,29.6896698556388,33.612,1.21153022134369,32629898.0,39.2,,66.0,54.0,87.0,,
SEN,2023,25.80331993103027,6.16277045366329,85.4523658596434,44.0673682244069,,195212.0,463457.0,10.0,61.5314165000969,26.61036744227832,53.42736501662026,,,11.0,1698.03387300843,93.8948371682335,3.05250609372929,29.423,-0.346864174008869,8189280.0,30.2,,74.2,56.5,96.1,410.176742198745,14.7904229412414
SGP,2023,,2.14826011657715,100.245139192048,103.082801906213,100.0,287.0,217.0,,96.8465629805147,100.0,100.0,100.0,100.0,6.0,85412.230345235,8241.8495821727,-5.0186426400397,7.4,,0.0,1.7,,100.0,100.0,100.0,9750.49546711802,24.5241415258447
SLB,2023,,8.29349080062944,80.2544791015835,,,18954.0006332397,19755.9984512329,,66.4970071601133,7.644882860665844,35.63501849568434,,65.92178770949721,0.0,1882.64394148042,28.581814933905,2.54749432932826,26.935,1.46043148119691,559932.0,16.5,,81.3,81.3,81.2,,
SLE,2023,,2.62455277942046,159.416853770084,86.9079513549805,,,,9.0,100.377198108697,1.45985401459854,15.1692103516921,5.083732057416269,,9.0,758.329137378248,117.214075921308,29.2602264523414,30.601,1.21675338933803,4669414.0,56.2,,35.5,19.0,56.3,,
SLV,2023,64.54000091552734,3.17218995094299,90.8837213469188,65.5709865566541,,42426.0,53487.0,12.0,80.8345580048987,,,,,9.0,5365.44491399171,304.518532818533,2.59374849301966,15.758,-1.33592949991733,1602135.0,9.2,0.678,98.3,96.6,99.4,,
SMR,2023,,,95.1203643461288,60.7940446650124,100.0,44.0,60.0,13.0,96.1165048543689,100.0,100.0,100.0,100.0,10.0,59879.7173015651,564.333333333333,7.35542673385122,5.6,-0.308483535121015,971.0,1.4,,100.0,100.0,100.0,,
SOM,2023,,8.14262404011e-06,20.9155502319336,3.34785008430481,,,,,,,,,,8.0,596.885985135589,29.2642187649441,4.60447420707497,42.964,1.84504528281139,8431847.0,67.8,,50.3,23.9,79.0,,
SRB,2023,98.7419462491062,3.40377998352051,,,,,,12.0,,,,,,8.0,12281.707946167,78.7630277084077,13.9302963711276,9.2,-1.25854477000111,2507308.0,4.5,,100.0,100.0,100.0,5089.5468236345,10.2969697896173
SSD,2023,,,,,,,,8.0,,,,,,8.0,,18.1719082809805,,28.59,3.73060290821405,9063394.0,72.6,,5.4,1.8,19.1,,
STP,2023,,5.0288576428727,,,,,,6.0,,,,,,6.0,2990.6606143535,240.490625,23.7460585524367,28.185,1.25922293613333,72483.0,9.4,,81.3,69.6,81.9,,
SUR,2023,,2.86623341491363,64.1794204711914,76.1109237670898,,4385.84364761383,1732.73147299868,,,,,,,6.0,5521.97602122638,3.91810706046897,33.0999644008231,17.298,1.33035510267,215354.0,15.2,,99.6,98.8,100.0,2897.18645350668,11.2206658183679
SVK,2023,99.8288698830934,,103.090553283691,92.6436767578125,100.0,1370.0,1519.0,13.0,100.707176208496,100.0,100.0,100.0,100.0,10.0,24614.8734642794,112.868968386023,10.0245901807717,9.0,-0.0934524162109645,2540213.0,5.1,0.88,100.0,100.0,100.0,4673.89261324478,12.9367550036151
SVN,2023,99.7987780463134,,100.884101867676,107.626876831055,,853.0,1051.0,13.0,97.4238586425781,,,,,9.0,32660.4753581346,105.31480791676,9.98912481634724,8.0,-0.0528073255394215,942802.0,1.8,0.931,100.0,100.0,100.0,6418.41561811323,16.5670693603527
SWE,2023,100.0,,115.019523620605,134.244293212891,,1494.0,1716.0,12.0,99.6335906982422,,,,,9.0,54950.2834725622,25.8713678886243,5.83406618538046,9.5,-1.50742217962508,1197887.0,2.0,,100.0,100.0,100.0,12149.5179863926,14.6106785518507
SWZ,2023,,5.00431592836751,116.527002594136,,98.17073170731707,,,7.0,93.6081152424768,11.97604790419162,98.80239520958084,22.5609756097561,98.17073170731707,7.0,3755.52111232464,71.5410465116279,6.05369047880271,24.073,0.393132656683733,912935.0,43.5,0.695,86.4,84.9,91.0,,
SXM,2023,,3.92363832601723,135.070755004883,,,,,11.0,,,,,,11.0,39451.8223361963,1257.32352941176,2.02312138728324,9.126,,0.0,,,100.0,100.0,100.0,,
SYC,2023,,4.45409960547034,97.1359174172655,74.2514404458298,100.0,214.0,115.0,11.0,94.0462427745665,100.0,100.0,100.0,100.0,11.0,18262.7115849287,260.376086956522,4.08934911219852,13.0,-0.426407523227962,65759.0,13.1,,100.0,100.0,100.0,,
SYR,2023,,,76.7710494995117,39.4672088623047,83.573486328125,359030.0,386144.0,12.0,60.1276588439941,7.666999816894531,84.92346954345703,9.155839920043944,88.95481872558594,9.0,,128.490023416653,,22.107,6.5308138336874,6567002.0,19.0,,88.4,72.8,100.0,,
TCA,2023,,2.68765461969981,124.371236273468,109.841759938248,100.0,,,11.0,,100.0,100.0,100.0,100.0,11.0,35470.2151608295,48.6294736842105,0.466757158704098,10.738,-3.1258032113867,2803.0,4.0,,100.0,100.0,100.0,,
TCD,2023,,3.20149725837724,88.3436578594334,24.1941648001316,22.48664093017578,547558.0,346252.0,10.0,,0.7408003865045495,4.179080009460449,3.506493506493506,39.47111129760742,10.0,949.333453674592,15.342331639136,-3.79374736446792,42.396,3.80730784495982,14232250.0,58.7,0.416,12.0,0.4,48.1,,
TGO,2023,,4.14281885166484,116.335465545392,63.4192515229188,64.64516129032259,,,5.0,87.3158245775118,1.204819277108434,35.56042351223074,14.15343915343915,85.69384835479255,10.0,1055.01727877926,171.067052767053,3.9628497528372,31.142,1.42753844264626,5280241.0,35.9,,59.2,30.5,95.0,,
THA,2023,74.8295899523026,2.52122219628772,102.574975655738,93.3356315272258,99.7713717693837,,,12.0,102.096899824548,99.89989343494688,99.89989343494688,99.84338826092878,100.0,9.0,7195.10130919449,140.348088629646,1.27492169842496,8.245,-3.05105000564566,28011135.0,8.0,,100.0,100.0,100.0,2965.2131060821,11.4469675087255
TJK,2023,,5.43682120015444,96.9759265270236,88.4022015902249,,,,11.0,,,,,,9.0,1178.47990060249,74.8598530153469,3.74356638768383,26.124,2.02719991045075,7668813.0,22.9,,100.0,100.0,100.0,,
TKM,2023,,2.71291995048523,97.341891416249,102.546752929688,100.0,8836.0,8458.0,12.0,97.7541266259286,37.24760892667376,100.0,37.24760892667376,100.0,12.0,6231.91323839698,15.6713510522844,-3.2837127112537,21.74,1.82332642909692,3898153.0,31.2,,100.0,100.0,100.0,,
TLS,2023,,5.24052834781801,119.652693100113,,100.0,4375.0,8710.0,9.0,93.210472040185,57.52636625119847,100.0,67.46031951904297,100.0,9.0,1502.41147438211,93.0925353059852,-20.8217881959754,22.077,1.0752195698376,988443.0,35.9,,100.0,100.0,100.0,,
TON,2023,97.7388994238874,,109.611591048228,91.8606656320055,100.0,,,8.0,102.558139534884,5.426356589147287,99.2248062015504,36.45833333333333,100.0,13.0,5651.59373063157,145.273611111111,7.42659746643895,23.117,-0.425877502357244,82477.0,8.0,,100.0,100.0,100.0,,
TTO,2023,99.3490607734806,3.01114988327026,99.1887588500977,92.9377899169922,,18243.0,19862.0,,91.5974807739258,,,,,7.0,18308.4536298575,266.571150097466,-12.9851733536177,10.708,0.111069014824153,629688.0,17.2,,98.7,98.0,99.3,,
TUN,2023,56.62179946899414,6.73398856321206,104.424217224121,,100.0,2882.0,11133.0,11.0,,81.2452392578125,99.98095703125,99.46524047851562,100.0,9.0,3951.11683376921,78.530065653965,7.18154722475788,13.748,-0.393468507618305,3656876.0,10.6,,100.0,100.0,100.0,,
TUR,2023,86.2253516011685,,,,,,,12.0,,,,,,12.0,13375.0947282864,110.866214934449,68.2797569244827,11.2,0.55472031193315,9367217.0,9.1,,100.0,100.0,100.0,3581.25454543643,18.9610646254113
TUV,2023,,12.8456897735596,108.909370199693,93.2753164556962,91.66666666666666,,,,106.930693069307,90.0,90.0,92.85714285714286,100.0,9.0,6344.7750188689,327.2,6.0040987048763,23.075,-3.69537810405051,3533.0,17.1,,100.0,100.0,100.0,,
TZA,2023,,3.25853222146531,95.6409804093201,,,684198.0,997845.0,13.0,89.3124694824219,,61.33380631429585,,,7.0,1224.00219726563,75.2061481146986,2.74821189393757,35.222,1.89814402321599,42985142.0,29.9,,48.3,27.9,82.4,,
UGA,2023,,,,,,,,,,,,,,7.0,1002.30913917142,242.65210951526,6.74801516641013,35.201,1.82463615657625,33764793.0,27.6,,51.5,42.4,76.4,,
UKR,2023,,,,,98.53340575774035,,,11.0,,98.99244332493704,98.99244332493704,97.8642899184394,97.56424308853975,11.0,5139.59814453125,65.1239834311357,19.8744638522736,5.625,-8.59317597954555,11517780.0,7.8,,100.0,100.0,100.0,2516.32291831974,9.86142886228584
URY,2023,92.8,4.81125020980835,104.532465643859,119.105005958635,100.0,,,12.0,101.1690082913,100.0,100.0,100.0,100.0,12.0,23019.4221560046,19.3582504856588,3.41312548351563,9.871,-1.11579924735438,150974.0,5.5,,100.0,100.0,100.0,,
USA,2023,99.07521057128906,,,,,,,12.0,,,,,,12.0,81032.262117545,36.8198061311277,3.59839135535658,10.7,0.635667133221232,67120224.0,5.5,0.938,100.0,100.0,100.0,12551.2256333524,11.6537620133459
UZB,2023,,5.47287597270024,93.4888259225367,97.3839945834102,99.66736361908384,61295.0,69541.0,12.0,96.0921933647617,94.92491921687892,99.66736361908384,95.02010233918128,99.66191520467837,12.0,2878.96879292451,80.9084466129581,13.823039902276,26.465,1.99718728938561,17470884.0,12.7,,100.0,100.0,100.0,,
VCT,2023,,6.4582691706334,111.270698547363,125.381042480469,,,,12.0,109.648559570312,,,,,12.0,10582.3656725229,259.802564102564,2.91400510607961,12.158,-0.959983325983503,52975.0,9.9,,100.0,100.0,100.0,,
VEN,2023,,0.0031300000846386,111.130409240723,97.229606628418,,,,11.0,102.23681640625,,,,,11.0,3617.43594578269,32.0853171588912,367.889226487606,15.087,-0.0272440926124137,3042447.0,21.5,,100.0,100.0,100.0,,
VGB,2023,,3.1728401184082,87.3165618448637,70.4463994786575,100.0,208.0,233.0,12.0,80.8411214953271,100.0,100.0,100.0,100.0,12.0,,259.9,,8.332,-0.16755745650679,17293.0,11.6,,100.0,100.0,100.0,,
VNM,2023,87.5381163091741,,105.170807361038,,95.27924914041446,,,5.0,,93.65683732987686,95.80362929358392,93.56673960612692,92.98067141403868,9.0,4323.35031982451,320.175197572656,2.09339091583757,13.831,-0.264917387762499,62088011.0,14.0,,99.8,99.8,100.0,,
VUT,2023,70.54322814941406,7.58135986328125,113.170782080259,134.670675170038,,601.000005722046,805.999822616577,,116.128610667961,,,,,0.0,3482.61458237637,26.2845775225595,6.97212370754437,28.05,2.31059586023381,249069.0,14.2,,61.6,54.0,87.5,,
WSM,2023,,6.1096302676416,101.617020641348,,100.0,719.999700546265,526.001352310181,8.0,98.8477625324381,50.86705202312138,100.0,53.02325581395348,100.0,8.0,4822.74084650019,77.9363309352518,6.82968887914544,25.401,0.64827228742237,178744.0,12.8,,100.0,100.0,100.0,,
YEM,2023,45.51358032226563,,,,,,,9.0,,,,,,9.0,,74.6080250771824,,35.209,2.61931794087608,24985269.0,34.7,,83.6,75.3,96.1,,
ZAF,2023,87.6258773803711,6.12346982955933,101.772235793474,104.133480684239,,218959.0,229187.0,12.0,95.3327484577974,,,,,9.0,6034.27208964673,52.1085690262058,4.72230243263523,18.775,1.03827472938905,23020452.0,24.4,,87.7,94.0,90.9,3247.14853342661,7.06490113677471
ZMB,2023,,4.07374933049157,,,,,,7.0,,,,,,7.0,1330.72780576709,27.8776483407095,7.09462960303757,33.081,2.01537010106656,11392257.0,30.9,,51.1,17.6,89.9,,
ZWE,2023,,0.384771297211919,93.2383787742938,,77.37870195337115,127695.0,161725.0,,85.2029321232507,35.7998402981102,71.86585041256322,49.55891619407687,97.85407725321888,7.0,2195.22492079245,42.24071862479,768.477177864533,30.41,0.715777308024943,9920197.0,40.6,,62.0,51.4,84.0,,
