;Table 2. Human Development Index trends, 1990-2023;;;;;;;;;;;;;;;;;;;;;;;;;;
114;Suriname;..;;..;;0,707;;0,718;;0,714;;0,697;;0,719;;0,722;;-6;;..;;..;;0,16;;..;
115;Belize;0,617;;0,671;;0,727;;0,721;;0,713;;0,713;;0,717;;0,721;;-9;;0,84;;0,80;;-0,06;;0,47;
115;Libya;0,690;;0,727;;0,755;;0,728;;0,688;;0,729;;0,741;;0,721;;-14;;0,52;;0,38;;-0,35;;0,13;
117;Jamaica;0,662;;0,659;;0,708;;0,713;;0,711;;0,703;;0,718;;0,720;;-6;;-0,05;;0,72;;0,13;;0,25;
117;Kyrgyzstan;0,649;;0,627;;0,668;;0,695;;0,700;;0,704;;0,717;;0,720;;1;;-0,34;;0,64;;0,58;;0,32;
117;Philippines;0,593;;0,632;;0,669;;0,690;;0,699;;0,690;;0,714;;0,720;;3;;0,64;;0,57;;0,57;;0,59;
120;Morocco;0,451;;0,528;;0,607;;0,659;;0,683;;0,690;;0,704;;0,710;;7;;1,59;;1,40;;1,21;;1,38;
121;Venezuela (Bolivarian Republic of);0,658;;0,703;;0,764;;0,768;;0,699;;0,696;;0,706;;0,709;;-37;;0,66;;0,84;;-0,57;;0,23;
122;Samoa;..;;0,676;;0,708;;0,708;;0,708;;0,706;;0,703;;0,708;;-9;;..;;0,46;;0,00;;..;
123;Nicaragua;0,515;;0,593;;0,651;;0,679;;0,676;;0,682;;0,701;;0,706;;0;;1,42;;0,94;;0,63;;0,96;
124;Nauru;..;;..;;0,616;;0,660;;0,684;;0,692;;0,700;;0,703;;2;;..;;..;;1,02;;..;
;Medium human development;;;;;;;;;;;;;;;;;;;;;;;;;;
125;Bhutan;..;;..;;0,593;;0,637;;0,688;;0,691;;0,695;;0,698;;9;;..;;..;;1,26;;..;
126;Eswatini (Kingdom of);0,570;;0,493;;0,534;;0,607;;0,657;;0,658;;0,695;;0,695;;16;;-1,44;;0,80;;2,05;;0,60;
126;Iraq;0,531;;0,592;;0,650;;0,675;;0,680;;0,687;;0,695;;0,695;;-2;;1,09;;0,94;;0,52;;0,82;
128;Tajikistan;..;;0,554;;0,639;;0,658;;0,664;;0,672;;0,687;;0,691;;0;;..;;1,44;;0,60;;..;
129;Tuvalu;0,566;;0,610;;0,636;;0,658;;0,681;;0,681;;0,686;;0,689;;-1;;0,75;;0,42;;0,62;;0,60;
130;Bangladesh;0,397;;0,477;;0,561;;0,621;;0,663;;0,663;;0,680;;0,685;;9;;1,85;;1,64;;1,55;;1,67;
130;India;0,446;;0,501;;0,590;;0,633;;0,652;;0,647;;0,676;;0,685;;5;;1,17;;1,65;;1,16;;1,31;
132;El Salvador;0,523;;0,607;;0,660;;0,667;;0,660;;0,663;;0,674;;0,678;;-7;;1,50;;0,84;;0,21;;0,79;
133;Equatorial Guinea;..;;0,508;;0,612;;0,656;;0,668;;0,671;;0,677;;0,674;;-2;;..;;1,88;;0,75;;..;
133;Palestine, State of;..;;..;;0,691;;0,712;;0,718;;0,718;;0,733;;0,674;;-21;;..;;..;;-0,19;;..;
135;Cabo Verde;..;;0,585;;0,648;;0,658;;0,647;;0,651;;0,664;;0,668;;-7;;..;;1,03;;0,23;;..;
136;Namibia;0,597;;0,561;;0,591;;0,630;;0,647;;0,631;;0,649;;0,665;;0;;-0,62;;0,52;;0,91;;0,33;
137;Guatemala;0,499;;0,563;;0,623;;0,638;;0,645;;0,639;;0,655;;0,662;;-4;;1,21;;1,02;;0,47;;0,86;
138;Congo;0,573;;0,545;;0,609;;0,643;;0,643;;0,643;;0,644;;0,649;;-6;;-0,50;;1,12;;0,49;;0,38;
139;Honduras;0,516;;0,558;;0,596;;0,610;;0,625;;0,628;;0,643;;0,645;;1;;0,79;;0,66;;0,61;;0,68;
140;Kiribati;..;;..;;0,600;;0,623;;0,632;;0,631;;0,642;;0,644;;-2;;..;;..;;0,55;;..;
141;Sao Tome and Principe;..;;..;;0,564;;0,608;;0,628;;0,631;;0,636;;0,637;;0;;..;;..;;0,94;;..;
142;Timor-Leste;..;;0,507;;0,645;;0,628;;0,650;;0,644;;0,633;;0,634;;-5;;..;;2,44;;-0,13;;..;
143;Ghana;0,432;;0,487;;0,558;;0,588;;0,614;;0,618;;0,625;;0,628;;4;;1,21;;1,37;;0,91;;1,14;
143;Kenya;0,485;;0,500;;0,552;;0,583;;0,600;;0,608;;0,626;;0,628;;5;;0,31;;0,99;;1,00;;0,79;
145;Nepal;0,404;;0,471;;0,551;;0,575;;0,599;;0,596;;0,605;;0,622;;5;;1,55;;1,58;;0,94;;1,32;
146;Vanuatu;..;;..;;0,582;;0,599;;0,617;;0,615;;0,621;;0,621;;0;;..;;..;;0,50;;..;
147;Lao People's Democratic Republic;0,409;;0,473;;0,556;;0,604;;0,616;;0,613;;0,614;;0,617;;-4;;1,46;;1,63;;0,80;;1,25;
148;Angola;..;;0,391;;0,528;;0,603;;0,610;;0,609;;0,615;;0,616;;-3;;..;;3,05;;1,19;;..;
149;Micronesia (Federated States of);..;;0,596;;0,603;;0,604;;0,609;;0,611;;0,614;;0,615;;-6;;..;;0,12;;0,15;;..;
150;Myanmar;0,347;;0,415;;0,515;;0,566;;0,609;;0,605;;0,606;;0,609;;3;;1,81;;2,18;;1,30;;1,72;
151;Cambodia;0,387;;0,438;;0,543;;0,562;;0,595;;0,594;;0,602;;0,606;;5;;1,25;;2,17;;0,85;;1,37;
152;Comoros;..;;0,461;;0,534;;0,565;;0,592;;0,594;;0,602;;0,603;;2;;..;;1,48;;0,94;;..;
153;Zimbabwe;0,500;;0,458;;0,512;;0,567;;0,582;;0,581;;0,594;;0,598;;-1;;-0,87;;1,12;;1,20;;0,54;
154;Zambia;0,422;;0,429;;0,533;;0,565;;0,578;;0,574;;0,589;;0,595;;0;;0,16;;2,19;;0,85;;1,05;
155;Cameroon;0,448;;0,439;;0,529;;0,575;;0,579;;0,574;;0,581;;0,588;;-5;;-0,20;;1,88;;0,82;;0,83;
156;Solomon Islands;..;;0,547;;0,564;;0,576;;0,579;;0,577;;0,583;;0,584;;-7;;..;;0,31;;0,27;;..;
157;Côte d'Ivoire;0,389;;0,419;;0,465;;0,519;;0,553;;0,557;;0,565;;0,582;;10;;0,75;;1,05;;1,74;;1,23;
157;Uganda;0,342;;0,407;;0,514;;0,547;;0,571;;0,573;;0,578;;0,582;;3;;1,76;;2,36;;0,96;;1,62;
159;Rwanda;..;;0,340;;0,504;;0,525;;0,555;;0,562;;0,570;;0,578;;5;;..;;4,01;;1,06;;..;
160;Papua New Guinea;0,403;;0,456;;0,503;;0,543;;0,567;;0,567;;0,572;;0,576;;1;;1,24;;0,99;;1,05;;1,09;
161;Togo;0,412;;0,448;;0,483;;0,523;;0,554;;0,560;;0,567;;0,571;;4;;0,84;;0,76;;1,30;;0,99;
162;Syrian Arab Republic;0,572;;0,594;;0,669;;0,549;;0,570;;0,571;;0,571;;0,564;;-3;;0,38;;1,20;;-1,30;;-0,04;
163;Mauritania;0,396;;0,468;;0,525;;0,551;;0,554;;0,553;;0,562;;0,563;;-5;;1,68;;1,16;;0,54;;1,07;
164;Nigeria;0,379;;0,435;;0,502;;0,530;;0,547;;0,554;;0,557;;0,560;;-2;;1,39;;1,44;;0,84;;1,19;
165;Tanzania (United Republic of);0,381;;0,414;;0,513;;0,520;;0,554;;0,548;;0,554;;0,555;;1;;0,83;;2,17;;0,61;;1,15;
166;Haiti;0,461;;0,497;;0,452;;0,552;;0,555;;0,548;;0,552;;0,554;;-9;;0,75;;-0,94;;1,58;;0,56;
167;Lesotho;0,483;;0,462;;0,478;;0,517;;0,537;;0,532;;0,547;;0,550;;1;;-0,44;;0,34;;1,09;;0,39;
;Low human development;;;;;;;;;;;;;;;;;;;;;;;;;;
168;Pakistan;0,396;;0,436;;0,500;;0,527;;0,536;;0,537;;0,544;;0,544;;-5;;0,97;;1,38;;0,65;;0,97;
169;Senegal;0,377;;0,398;;0,477;;0,509;;0,522;;0,522;;0,526;;0,530;;1;;0,54;;1,83;;0,81;;1,04;
170;Gambia;0,331;;0,403;;0,463;;0,482;;0,512;;0,513;;0,519;;0,524;;5;;1,99;;1,40;;0,96;;1,40;
171;Congo (Democratic Republic of the);0,388;;0,391;;0,440;;0,477;;0,506;;0,508;;0,514;;0,522;;8;;0,08;;1,19;;1,32;;0,90;
172;Malawi;0,306;;0,394;;0,475;;0,504;;0,512;;0,509;;0,513;;0,517;;-1;;2,56;;1,89;;0,65;;1,60;
173;Benin;0,351;;0,415;;0,485;;0,511;;0,504;;0,506;;0,512;;0,515;;-4;;1,69;;1,57;;0,46;;1,17;
174;Guinea-Bissau;..;;..;;0,452;;0,481;;0,498;;0,502;;0,511;;0,514;;2;;..;;..;;0,99;;..;
175;Djibouti;..;;0,337;;0,421;;0,469;;0,499;;0,501;;0,510;;0,513;;6;;..;;2,25;;1,53;;..;
176;Sudan;..;;..;;0,479;;0,498;;0,513;;0,512;;0,516;;0,511;;-3;;..;;..;;0,50;;..;
177;Liberia;..;;0,443;;0,467;;0,480;;0,498;;0,503;;0,508;;0,510;;0;;..;;0,53;;0,68;;..;
178;Eritrea;..;;..;;0,465;;0,480;;0,495;;0,496;;0,499;;0,503;;-1;;..;;..;;0,61;;..;
179;Guinea;0,282;;0,359;;0,430;;0,465;;0,488;;0,490;;0,498;;0,500;;3;;2,44;;1,82;;1,17;;1,75;
180;Ethiopia;..;;0,293;;0,415;;0,456;;0,486;;0,487;;0,494;;0,497;;4;;..;;3,54;;1,40;;..;
181;Afghanistan;0,285;;0,351;;0,465;;0,496;;0,501;;0,486;;0,495;;0,496;;-7;;2,10;;2,85;;0,50;;1,69;
182;Mozambique;0,246;;0,311;;0,419;;0,457;;0,477;;0,478;;0,490;;0,493;;1;;2,37;;3,03;;1,26;;2,13;
183;Madagascar;..;;0,443;;0,493;;0,501;;0,483;;0,481;;0,483;;0,487;;-11;;..;;1,08;;-0,09;;..;
184;Yemen;0,359;;0,439;;0,502;;0,475;;0,459;;0,458;;0,466;;0,470;;-4;;2,03;;1,35;;-0,51;;0,82;
185;Sierra Leone;0,313;;0,318;;0,410;;0,432;;0,454;;0,458;;0,463;;0,467;;0;;0,16;;2,57;;1,01;;1,22;
186;Burkina Faso;..;;..;;0,377;;0,419;;0,453;;0,454;;0,457;;0,459;;1;;..;;..;;1,53;;..;
187;Burundi;0,294;;0,308;;0,416;;0,432;;0,435;;0,435;;0,437;;0,439;;-2;;0,47;;3,05;;0,41;;1,22;
188;Mali;0,240;;0,320;;0,410;;0,413;;0,414;;0,414;;0,417;;0,419;;0;;2,92;;2,51;;0,17;;1,70;
188;Niger;0,215;;0,266;;0,339;;0,374;;0,404;;0,413;;0,414;;0,419;;3;;2,15;;2,45;;1,64;;2,04;
190;Chad;..;;0,303;;0,375;;0,396;;0,408;;0,408;;0,414;;0,416;;-1;;..;;2,15;;0,80;;..;
191;Central African Republic;0,342;;0,333;;0,358;;0,377;;0,386;;0,339;;..;;0,414;;-1;;-0,27;;0,73;;1,12;;0,58;
192;Somalia;..;;..;;..;;..;;..;;..;;0,385;;0,404;;..;;..;;..;;..;;..;
193;South Sudan;..;;..;;0,420;;0,317;;0,398;;0,393;;0,388;;0,388;;0;;..;;..;;-0,61;;..;
;Other countries or territories;;;;;;;;;;;;;;;;;;;;;;;;;;
;Korea (Democratic People's Rep. of);..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;
;Monaco;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Human development groups;;;;;;;;;;;;;;;;;;;;;;;;;;
;Very high human development;0,797;;0,838;;0,879;;0,898;;0,901;;0,903;;0,908;;0,914;;—;;0,50;;0,48;;0,30;;0,42;
;High human development;0,569;;0,636;;0,714;;0,744;;0,763;;0,766;;0,774;;0,777;;—;;1,12;;1,16;;0,65;;0,95;
;Medium human development;0,439;;0,491;;0,573;;0,611;;0,631;;0,629;;0,649;;0,656;;—;;1,13;;1,56;;1,05;;1,22;
;Low human development;0,346;;0,393;;0,467;;0,491;;0,507;;0,507;;0,512;;0,515;;—;;1,28;;1,74;;0,76;;1,21;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Developing countries;0,520;;0,576;;0,649;;0,680;;0,696;;0,696;;0,708;;0,712;;—;;1,03;;1,20;;0,72;;0,96;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Regions;;;;;;;;;;;;;;;;;;;;;;;;;;
;Arab States;0,550;;0,615;;0,670;;0,693;;0,707;;0,710;;0,716;;0,719;;—;;1,12;;0,86;;0,54;;0,82;
;East Asia and the Pacific;0,514;;0,604;;0,699;;0,735;;0,764;;0,768;;0,773;;0,775;;—;;1,63;;1,47;;0,80;;1,25;
;Europe and Central Asia;0,674;;0,686;;0,753;;0,789;;0,802;;0,803;;0,815;;0,818;;—;;0,18;;0,94;;0,64;;0,59;
;Latin America and the Caribbean;0,648;;0,697;;0,747;;0,767;;0,764;;0,762;;0,778;;0,783;;—;;0,73;;0,70;;0,36;;0,58;
;South Asia;0,454;;0,508;;0,590;;0,627;;0,645;;0,641;;0,665;;0,672;;—;;1,13;;1,51;;1,01;;1,20;
;Sub-Saharan Africa;0,405;;0,435;;0,510;;0,540;;0,557;;0,558;;0,565;;0,568;;—;;0,72;;1,60;;0,83;;1,03;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Least developed countries;0,360;;0,411;;0,494;;0,526;;0,550;;0,549;;0,555;;0,560;;—;;1,33;;1,86;;0,97;;1,35;
;Small island developing states;0,617;b;0,660;;0,702;;0,727;;0,731;;0,727;;0,737;;0,739;;—;;0,68;;0,62;;0,40;;0,55;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Organisation for Economic Co-operation and Development;0,801;;0,846;;0,883;;0,899;;0,903;;0,904;;0,910;;0,916;;—;;0,55;;0,43;;0,28;;0,41;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;0,608;;0,651;;0,707;;0,731;;0,742;;0,742;;0,752;;0,756;;—;;0,69;;0,83;;0,52;;0,66;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Notes;;;;;;;;;;;;;;;;;;;;;;;;;;
;For HDI values that are comparable across years and countries, use this table or the interpolated data at http://hdr.undp.org/en/data, which present trends using consistent data.;;;;;;;;;;;;;;;;;;;;;;;;;;
;a. A positive value indicates an improvement in rank.;;;;;;;;;;;;;;;;;;;;;;;;;;
;b. Value reported with relaxed aggregation rule. For more details see Reader's guide.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Definitions;;;;;;;;;;;;;;;;;;;;;;;;;;
;Human Development Index (HDI): A composite index measuring average achievement in three basic dimensions of human development—a long and healthy life, knowledge and a decent standard of living. See Technical note 1 at https://hdr.undp.org/sites/default/files/2025_HDR/hdr2025_technical_notes.pdf  for details on how the HDI is calculated.;;;;;;;;;;;;;;;;;;;;;;;;;;
;Average annual HDI growth: A smoothed annualized growth of the HDI in a given period, calculated as the annual compound growth rate.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Main data sources;;;;;;;;;;;;;;;;;;;;;;;;;;
;Columns 1-8: HDRO calculations based on data from Barro and Lee (2018), IMF (2024), UNDESA (2024a), UNESCO Institute for Statistics (2024), United Nations Statistics Division (2025) and World Bank (2024a).;;;;;;;;;;;;;;;;;;;;;;;;;;
;Column 9: Calculated based on data in columns 4 and 8.;;;;;;;;;;;;;;;;;;;;;;;;;;
;Columns 10-13: Calculated based on data in columns 1, 2, 3 and 8.;;;;;;;;;;;;;;;;;;;;;;;;;;